review_length,word_count,sentiment,user_review_count,daily_review_count,label
13,1,0.0,5,4,5
7,1,0.0,17,5,5
13,1,0.0,1,3,5
13,1,0.0,7,2,5
13,1,0.0,19,1,5
7,1,0.0,17,3,4
28,1,0.0,20,2,5
13,1,0.0,16,4,5
13,1,0.0,12,2,5
7,1,0.0,20,4,4
13,1,0.0,8,1,5
15,1,0.0,9,4,5
28,1,0.0,9,3,5
13,1,0.0,2,2,2
7,1,0.0,14,3,5
16,1,0.0,20,2,4
18,1,0.0,2,4,4
13,1,0.0,10,2,5
7,1,0.0,16,4,5
13,1,0.0,20,1,5
18,1,0.0,3,1,4
13,1,0.0,5,2,5
13,1,0.0,4,3,4
13,1,0.0,7,2,5
7,1,0.0,10,5,5
7,1,0.0,11,5,5
13,1,0.0,10,4,5
13,1,0.0,2,4,5
13,1,0.0,1,1,4
7,1,0.0,16,4,5
13,1,0.0,19,1,4
13,1,0.0,5,3,3
18,1,0.0,19,1,4
28,1,0.0,10,4,5
13,1,0.0,2,3,5
13,1,0.0,8,3,4
13,1,0.0,8,1,4
13,1,0.0,10,1,5
15,1,0.0,5,5,4
13,1,0.0,17,5,5
13,1,0.0,14,1,4
13,1,0.0,4,1,5
13,1,0.0,15,1,5
7,1,0.0,12,2,5
18,1,0.0,6,2,5
13,1,0.0,10,4,5
13,1,0.0,14,3,5
13,1,0.0,4,3,4
28,1,0.0,15,1,5
13,1,0.0,19,2,5
7,1,0.0,18,3,5
7,1,0.0,4,2,5
13,1,0.0,9,1,4
7,1,0.0,13,1,4
7,1,0.0,6,4,5
13,1,0.0,20,2,5
13,1,0.0,16,5,5
13,1,0.0,14,1,4
13,1,0.0,2,3,4
13,1,0.0,11,3,5
28,1,0.0,12,4,5
13,1,0.0,7,4,3
13,1,0.0,9,3,4
13,1,0.0,13,1,5
13,1,0.0,15,4,4
7,1,0.0,11,1,1
13,1,0.0,19,5,5
13,1,0.0,10,3,5
18,1,0.0,14,2,5
14,1,0.0,10,4,5
7,1,0.0,12,1,4
15,1,0.0,14,5,5
16,1,0.0,19,4,5
15,1,0.0,19,1,4
7,1,0.0,7,3,5
7,1,0.0,13,1,5
18,1,0.0,18,2,5
13,1,0.0,5,2,4
13,1,0.0,2,2,5
7,1,0.0,12,2,5
13,1,0.0,4,1,5
13,1,0.0,1,1,5
21,1,0.0,10,3,5
13,1,0.0,14,2,5
21,1,0.0,18,1,4
28,1,0.0,13,5,4
18,1,0.0,20,3,5
7,1,0.0,16,1,5
13,1,0.0,20,3,5
